album,data,musica,letra
Eu Nunca Fui Embora (Deluxe),2025-04-04 00:00:00,Eu Nunca Fui Embora,"6 Contributors
Eu Nunca Fui Embora Lyrics
[Letra de ""Eu Nunca Fui Embora"" com Fresno]
[Verso 1]
E logo quando eu tava acreditando
Que eu já tava bem (Ahn, ahn)
Parece até que você adivinhou
'Cê sabe me abalar como ninguém (Ahn, ahn)
[Pré-Refrão]
E desde então eu me liguei
Que apesar de parecer, eu...
Nunca fui embora
Você quem deu o fora
[Refrão]
Você me salva e me faz mal
Já começou pelo final
Me dá coragem, me dá medo
Explanou os meus segredos, uh oh
[Verso 2]
Como é que é ter esse mini-poder?
Só é feliz se fizer alguém sofrer
Já me tratei que é pra ver se passa
Tua memória eu não quero nem de graça
[Pré-Refrão]
E desde então eu me liguei
Que apesar de parecer
Eu nunca fui embora
Você quem deu o fora
Eu nunca fui, eu nunca vou
Não é assim que eu sou
[Refrão]
Você me salva e me faz mal
Já começou pelo final
Me dá coragem, me dá medo
Explanou os meus segredos, uh oh
Você me salva e me faz mal
Já começou pelo final (Pelo final)
Me dá coragem, me dá medo (Coragem e medo)
Explanou os meus segredos, uh oh
[Saída]
Uh oh
Uh oh"
Eu Nunca Fui Embora (Deluxe),2025-04-04 00:00:00,Quando o Pesadelo Acabar,"9 Contributors
Quando o Pesadelo Acabar Lyrics
[Letra de ""Quando o Pesadelo Acabar"" com Fresno]
[Verso 1]
Desastre, tragédia, beirando a comédia
Eu nunca aprendo, sempre remoendo
Meus traumas afogados, meus sonhos soterrados
Meus dentes quebrados mordendo o cadeado
[Pré-Refrão]
Todo mundo tá fodido
Eu só queria os meus amigos
Todo mundo tá fodido
Eu só queria os meus amigos
[Refrão]
E quando foi que a gente começou
A piorar, a piorar?
O medo dorme do meu lado com alarme programado
Pra tocar (Quando o pesadelo acabar)
[Verso 2]
São tantos caminhos e o mesmo destino
A porta trancada, janela cimentada
Tua cama engole teu corpo e a borda é distante
Te marca com brasa, nada vai sеr como antes
[Pré-Refrão]
Todo mundo tá fodido
Eu só queria os meus amigos
[Refrão]
E quando foi quе a gente começou
A piorar, a piorar?
O medo dorme do meu lado com alarme programado
Pra tocar (Quando o pesadelo acabar)
[Ponte]
E quando foi que a gente começou
A piorar, a piorar?
O medo dorme do meu lado com alarme programado
Pra tocar quando o pesadelo acabar
[Refrão]
E quando foi que a gente começou (Acabar)
A piorar, a piorar? (A piorar)
O medo dorme do meu lado com alarme programado
Pra tocar (Quando o pesadelo acabar)
E quando foi que a gente começou
A piorar, a piorar? (Piorar)
O medo dorme do meu lado com alarme programado
Pra tocar (Quando o pesadelo acabar)"
Eu Nunca Fui Embora (Deluxe),2025-04-04 00:00:00,Me And You (Foda Eu e Você),"8 Contributors
Me And You (Foda Eu e Você) Lyrics
[Letra de ""Me And You (Foda Eu e Você)"" com Fresno]
[Verso 1]
Quanto eu conto as vezes que eu errei?
Achando que sabia coisas
Mas não sei de nada
Da tua vida passada
Nem você sabe por onde andei
Mas tuas dores mostram que andamos
Na mesma estrada
Por onde o amor já passou
[Refrão]
Me olha e diz pra mim que não era pra ser
Tinha que ser assim, só dá eu e você, só dá eu e você
(Just me and you) Só dá eu e você
(Just me and you) Só dá eu e você
(Just me and you) Só dá eu e você
(Just me and you) Só dá eu e você
[Verso 2]
Quanto еu conto as vezes que еu tentei?
Calcular da força que mantém nossas mãos dadas
Você me quer de graça, amor
Pois você menos eu, sobra ninguém
E você menos eu já não resulta quase nada
Mas junto a gente é muito, ô se é
[Refrão]
Me olha e diz pra mim que não era pra ser
Tinha que ser assim, só dá eu e você, só dá eu e você
(Just me and you) Só dá eu e você
(Just me and us) Só dá eu e você
(Just me and you) Só dá eu e você
(Just me and us) Só dá eu e você
[Ponte]
(Just me and you)
(Just me and you)
[Refrão]
Me olha e diz pra mim que não era pra ser
Tinha que ser assim, só dá eu e você, foda eu e você
(Just me and you) Só dá eu e você
(Just me and us) Só dá eu e você
(Just me and you) Só dá eu e você
(Just me and us) Só dá eu e você"
Eu Nunca Fui Embora (Deluxe),2025-04-04 00:00:00,Eu Te Amo / Eu Te Odeio (Iô - Iô),"8 Contributors
Eu Te Amo / Eu Te Odeio (Iô - Iô) Lyrics
[Letra de ""Eu Te Amo / Eu Te Odeio (IÔ-IÔ)"" com Fresno & Pabllo Vittar]
[Verso 1: Lucas Silveira]
Se alguém um dia perguntar
Qual é o teu segredo, não ouse falar
Eu sei, tu deixa só pra mim
Agora eu entendi o que te fez assim
Não, ninguém me disse
Tem coisas que o tempo é quem vai falar
Não acredito em idiotice
Nem vou tentar fazer você acreditar (Ah, ah, ah)
[Pré-Refrão: Lucas Silveira]
Hey, será que não vê?
Que é desajustada e tá linda assim
Você não precisa de conserto
Nem de um amor, muito menos de mim
[Refrão: Lucas Silveira]
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, еu te amo
(Mas tem horas que еu)
Iô, iô, iô, iô, iô, iô, eu te odeio
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, eu te amo
(Mas tem horas que eu)
Iô, iô, iô, iô, iô, iô, eu te odeio
[Verso 2: Pabllo Vittar]
(Vittar)
Abracadabra, abram as asas
Amor e ódio eternamente
Abertos entre a porta do céu e o cemitério
A gente vive tudo, menos tédio
[Pré-Refrão: Pabllo Vittar & Lucas Silveira]
Hey, será que não vê?
Sou descontrolada e prefiro assim (Eu prefiro assim)
Eu não tenho conserto e não quero amor
Se ele é feito pro fim
[Refrão: Pabllo Vittar & Lucas Silveira]
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, eu te amo
(Mas tem horas que eu)
Iô, iô, iô, iô, iô, iô, eu te odeio
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, eu te amo
(Mas tem horas que eu)
Iô, iô, iô, iô, iô, iô, eu te odeio
[Instrumental]
[Refrão: Lucas Silveira]
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, eu te amo
(Mas tem horas que eu)
Iô, iô, iô, iô, iô, iô, eu te odeio
(E é por isso que eu)
Iô, iô, iô, iô, iô, iô, eu te amo
(Mas tem horas que eu)
Iô, iô, iô, iô, iô, iô, eu te odeio"
Eu Nunca Fui Embora (Deluxe),2025-04-04 00:00:00,Camadas,"10 Contributors
Camadas Lyrics
[Letra de ""Camadas"" com Fresno]
[Verso 1]
Eu não vou mais me sabotar, nunca mais vou dar chance pro azar
Quando eu falava em me matar, eu só queria enterrar
O que eu achava de mim quando eu falava em amar
Eu só queria encontrar alguém igual a mim
[Pré-Refrão]
Camada por Camada
Armadura quebrada
Camada por Camada
Reconstruir a casa
[Refrão]
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
'Cê foi tirando, tirando até não sobrar nada
'Cê foi tirando, tirando, tirando até não sobrar nada
[Verso 2]
Eu me prometi me valorizar mais
Ter mais tempo pra mim e perdoar meus pais
O que mais me mata são coisas que não são de verdade
Chеga de perder tеmpo, nem tenho mais idade
[Refrão]
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
'Cê foi tirando, tirando até não sobrar nada
'Cê foi tirando, tirando, tirando até não sobrar nada
[Solo de Guitarra]
[Refrão]
Oh
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
Oh
O meu amor tem camadas
'Cê foi tirando, tirando sem devolver nada
'Cê foi tirando, tirando até não sobrar nada
'Cê foi tirando, tirando, tirando até não sobrar nada"
Eu Nunca Fui Embora (Deluxe),2025-04-04 00:00:00,Era Pra Sempre,"10 Contributors
Era Pra Sempre Lyrics
[Letra de ""Era Pra Sempre"" com Fresno]
[Verso 1]
Beijo roubado
As três da manhã, pegou de lado
Eu não entendi embriagado
E deixei pra depois
Peguei tua mão
Pra te assegurar que a solidão
Não vai machucar e amanhecemos
Tão tarde pra almoçar
[Refrão]
Você nem sonhava, mas eu sabia
Que era pra sempre, mesmo quando ninguém sabia
Sempre, desde o nosso primeiro dia
Sempre, apesar de mim
[Verso 2]
Ingenuidade
Achar que a gente tem vontades
Que o destino preenche sua vaidade
Achar que sabe mais que o tempo
Que ele dizia
Que dia após dia aumentaria
Que a gente sentia
Até não caber mais em nós
[Refrão]
Você nem sonhava (Mas eu já sabia)
Que era pra sempre, mesmo quando não parecia
Sempre, desde o nosso primeiro dia
Sempre, apesar de nós
[Ponte]
Quatro da manhã da sexta feira
A tua paciência já se esgotou
E em pedaços eu tento juntar
Tudo de mim em você que nos restou
A força que eu acreditava possuir, deixou de existir
Mostrou pra mim a farsa que eu sou, acovardado
E vida me ensinando a gritar calado
Eu nunca disse que eu ia te amar pra sempre
Pois pra sempre vou te decepcionar
Nada é eterno, nem mesmo o tempo
Exceto a minha gana de recomeçar de novo
Melhor, mais calmo, sábio, consciente
De que tudo pode se acabar
Mas se depender de mim, eu sei
[Saída]
Que vou te amar pra (Sempre!)
Sempre achando uma saída
(Sempre!) Até o final da nossa vida
Sempre, apesar de mim, de você, de nós
(Sempre!) De nós
(Sempre!) De nós
Sempre (Sempre, sempre, sempre)
Ah-ah, ah-ah-ah"
Eu Nunca Fui Embora (Deluxe),2025-04-04 00:00:00,Interlude,"9 Contributors
Interlude Lyrics
[Letra de ""Interlude"" com Fresno]
[Verso]
Estrada do inferno, 
farol da solidão
Dentro de um caderno, 
um parque de redenção
Por tudo que é eterno, Piedade, Jaboatão
Por dentro e por fora, eu nunca fui embora
Rodrigos, intrigas e noites mal dormidas
Lições mal aprendidas pra mais de quatro vidas
Feliz por acidente
, antes e agora
Nunca é minha hora, eu nunca fui embora
A vida é um sopro, é a boca da morte
Me cuspindo pra fora, um golpe de sorte
Se a gente não morre, não cura dos cortes
Mas vivendo piora, eu nunca fui embora
Azar de quem fica, maldito quem vai
Eu não sei nem o cheiro de abraço de pai
Repito, incansável, mais forte agora
Eu nunca fui embora, eu nunca fui embora
Eu nunca fui embora"
Eu Nunca Fui Embora (Deluxe),2025-04-04 00:00:00,A Gente Conhece o Fundo do Poço,"4 Contributors
A Gente Conhece o Fundo do Poço Lyrics
[Letra de ""A Gente Conhece o Fundo do Poço com Fresno]
[Verso]
Contando esses carros que me cruzam o olhar
Torcendo pra algum farol me cegar
E eu não ter culpa de nada
E me persegue essa noção de que nunca vai dar
Mesmo que eu tente fazer durar
Felicidade contada
E eu tento há tanto tempo
Quem dirá o sabor do vento
Possa me trazer de volta pra antes de eu me destruir
[Refrão]
Não posso mais esconder
Se eu quеro mais, é por você
A gente conhecе o fundo do poço
[Verso]
Errei tantas escolhas, já parei de contar
Acertos não vão recuperar
Minha juventude perdida
Tem dias que eu tô triste demais pra ajudar
Ou pra perceber que eu preciso parar
De achar que é o fim da minha vida
E eu tento há tanto tempo
Quem dirá o sabor do vento
Possa nos levar pra longe antes de tudo explodir
[Refrão]
Não posso mais esconder
Se eu quero mais, é por você 
(acho que é por você)
A gente conhece o fundo do poço
Atolado até o pescoço
A gente sempre soube que a gente vai
Sobreviver
[Refrão]
Não posso mais esconder
Se eu quero mais, é por você 
(é por você)
A gente conhece o fundo do poço
Atolado até o pescoço
A gente sempre soube que a gente vai
Sobreviver"
Eu Nunca Fui Embora (Deluxe),2025-04-04 00:00:00,Se Eu For Eu Vou Com Você,"3 Contributors
Se Eu For Eu Vou Com Você Lyrics
[Letra de ""Se Eu For Eu Vou Com Você"" com Fresno & NX Zero]
[Verso 1: Lucas Silveira]
Deixa eu fazer uso medicinal da tua companhia
Doente eu 'tô na tempestade, buscando calmaria
Quando eu voltar, não vá me estranhar
Eu ainda sou eu, o mesmo apesar
De um monte de coisas que eu não pude evitar
Não deixa, não deixa, não deixa (Não deixa)
[Refrão 1: Lucas Silveira]
Não deixa eu ir embora
Pois não é hora de dar adeus
O teu caminho é pra sempre entrelaçado com o meu
Às vezes preciso de tеmpo pra eu voltar a ser eu
Não vou еmbora pois não é hora de te perder
Eu nunca fui embora, só se for com você
Se eu for, eu vou com você
Se eu for, eu vou com você
[Verso 2: Di Ferrero]
O cara que já sabia de tudo, um dia se ""foderia""
Ele aprendeu da pior maneira a conviver com a sua partida
Quando eu voltar, não vá me estranhar
Eu ainda sou teu, até você enjoar
E como outras coisas, não tenho onde guardar
Não deixa, não deixa, não deixa (Não deixa)
[Refrão]
Não deixa eu ir embora
Pois não é hora de dar adeus
O teu caminho é pra sempre entrelaçado como meu
Às vezes preciso de tempo pra eu voltar a ser eu
Não vou embora pois não é hora de te perder
Eu nunca fui embora, só se for com você
Se eu for, eu vou com você
Se eu for, eu vou com você
Não deixa eu ir embora
Pois não é hora de dar adeus 
(se eu for, eu vou com você)
O teu caminho é pra sempre entrelaçado como meu
Às vezes preciso de tempo pra eu voltar a ser eu 
(se eu for, eu vou com você)
Se eu for, eu vou com você"
Eu Nunca Fui Embora (Deluxe),2025-04-04 00:00:00,Fala Que Ama,"3 Contributors
Fala Que Ama Lyrics
[Letra de ""Fala Que Ama"" com Fresno]
[Verso]
Fala que ama, mesmo que seja de mentira
Finge que gosta, me engana só por mais um dia
Diz que vai ficar, mas só até cair a ficha
Me deixa desapegar de você
Porque eu demoro pra me entregar
E mais ainda pra me esquecer
[Refrão]
De hora em hora
Você me ignora
E dia após dia
Você me iludia
[Verso]
E eu nem percebia, mas insistia em negar
Cê fala que odeia, mas não vive sem, pode falar
Cenas de acabar, e como é que eu faço pra ir embora
Pro mesmo lugar que você?
Porque eu demoro pra me entregar
E mais ainda pra me esquecer
[Refrão]
De hora em hora
Você me ignora
E dia após dia
Você me iludia
E eu nem percebia
De hora em hora
Você me ignora
E eu nem percebia
E dia após dia
Você me iludia
E eu nem percebia
De hora em hora
Você me ignora
E dia após dia
Você me iludia
E eu nem percebia
De hora em hora
Você me ignora
E dia após dia
Você me iludia
E eu nem percebia"
