album,data,musica,letra,tokens,types,lemmas,ttr,ltor,ltyr
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,eu nunca fui embora,"e logo quando eu tava acreditando que eu já tava bem (ahn, ahn) parece até que você adivinhou 'cê sabe me abalar como ninguém (ahn, ahn) e desde então eu me liguei que apesar de parecer, eu... nunca fui embora você quem deu o fora você me salva e me faz mal já começou pelo final me dá coragem, me dá medo explanou os meus segredos, uh oh como é que é ter esse mini-poder? só é feliz se fizer alguém sofrer já me tratei que é pra ver se passa tua memória eu não quero nem de graça e desde então eu me liguei que apesar de parecer eu nunca fui embora você quem deu o fora eu nunca fui, eu nunca vou não é assim que eu sou você me salva e me faz mal já começou pelo final me dá coragem, me dá medo explanou os meus segredos, uh oh você me salva e me faz mal já começou pelo final (pelo final) me dá coragem, me dá medo (coragem e medo) explanou os meus segredos, uh oh uh oh uh oh",185,71,65,38.37837837837838,35.13513513513514,91.54929577464789
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,quando o pesadelo acabar,"desastre, tragédia, beirando a comédia eu nunca aprendo, sempre remoendo meus traumas afogados, meus sonhos soterrados meus dentes quebrados mordendo o cadeado todo mundo tá fodido eu só queria os meus amigos todo mundo tá fodido eu só queria os meus amigos e quando foi que a gente começou a piorar, a piorar? o medo dorme do meu lado com alarme programado pra tocar (quando o pesadelo acabar) são tantos caminhos e o mesmo destino a porta trancada, janela cimentada tua cama engole teu corpo e a borda é distante te marca com brasa, nada vai sеr como antes todo mundo tá fodido eu só queria os meus amigos e quando foi quе a gente começou a piorar, a piorar? o medo dorme do meu lado com alarme programado pra tocar (quando o pesadelo acabar) e quando foi que a gente começou a piorar, a piorar? o medo dorme do meu lado com alarme programado pra tocar quando o pesadelo acabar e quando foi que a gente começou (acabar) a piorar, a piorar? (a piorar) o medo dorme do meu lado com alarme programado pra tocar (quando o pesadelo acabar) e quando foi que a gente começou a piorar, a piorar? (piorar) o medo dorme do meu lado com alarme programado pra tocar (quando o pesadelo acabar)",217,73,69,33.6405529953917,31.797235023041477,94.52054794520548
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,me and you (foda eu e você),"quanto eu conto as vezes que eu errei? achando que sabia coisas mas não sei de nada da tua vida passada nem você sabe por onde andei mas tuas dores mostram que andamos na mesma estrada por onde o amor já passou me olha e diz pra mim que não era pra ser tinha que ser assim, só dá eu e você, só dá eu e você (just me and you) só dá eu e você (just me and you) só dá eu e você (just me and you) só dá eu e você (just me and you) só dá eu e você quanto еu conto as vezes que еu tentei? calcular da força que mantém nossas mãos dadas você me quer de graça, amor pois você menos eu, sobra ninguém e você menos eu já não resulta quase nada mas junto a gente é muito, ô se é me olha e diz pra mim que não era pra ser tinha que ser assim, só dá eu e você, só dá eu e você (just me and you) só dá eu e você (just me and us) só dá eu e você (just me and you) só dá eu e você (just me and us) só dá eu e você (just me and you) (just me and you) me olha e diz pra mim que não era pra ser tinha que ser assim, só dá eu e você, foda eu e você (just me and you) só dá eu e você (just me and us) só dá eu e você (just me and you) só dá eu e você (just me and us) só dá eu e você",278,76,66,27.33812949640288,23.741007194244602,86.8421052631579
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,eu te amo / eu te odeio (iô - iô),"se alguém um dia perguntar qual é o teu segredo, não ouse falar eu sei, tu deixa só pra mim agora eu entendi o que te fez assim não, ninguém me disse tem coisas que o tempo é quem vai falar não acredito em idiotice nem vou tentar fazer você acreditar (ah, ah, ah) hey, será que não vê? que é desajustada e tá linda assim você não precisa de conserto nem de um amor, muito menos de mim (e é por isso que eu) iô, iô, iô, iô, iô, iô, еu te amo (mas tem horas que еu) iô, iô, iô, iô, iô, iô, eu te odeio (e é por isso que eu) iô, iô, iô, iô, iô, iô, eu te amo (mas tem horas que eu) iô, iô, iô, iô, iô, iô, eu te odeio (vittar) abracadabra, abram as asas amor e ódio eternamente abertos entre a porta do céu e o cemitério a gente vive tudo, menos tédio hey, será que não vê? sou descontrolada e prefiro assim (eu prefiro assim) eu não tenho conserto e não quero amor se ele é feito pro fim (e é por isso que eu) iô, iô, iô, iô, iô, iô, eu te amo (mas tem horas que eu) iô, iô, iô, iô, iô, iô, eu te odeio (e é por isso que eu) iô, iô, iô, iô, iô, iô, eu te amo (mas tem horas que eu) iô, iô, iô, iô, iô, iô, eu te odeio (e é por isso que eu) iô, iô, iô, iô, iô, iô, eu te amo (mas tem horas que eu) iô, iô, iô, iô, iô, iô, eu te odeio (e é por isso que eu) iô, iô, iô, iô, iô, iô, eu te amo (mas tem horas que eu) iô, iô, iô, iô, iô, iô, eu te odeio",304,92,83,30.263157894736842,27.302631578947366,90.21739130434783
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,camadas,"eu não vou mais me sabotar, nunca mais vou dar chance pro azar quando eu falava em me matar, eu só queria enterrar o que eu achava de mim quando eu falava em amar eu só queria encontrar alguém igual a mim camada por camada armadura quebrada camada por camada reconstruir a casa o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada 'cê foi tirando, tirando até não sobrar nada 'cê foi tirando, tirando, tirando até não sobrar nada eu me prometi me valorizar mais ter mais tempo pra mim e perdoar meus pais o que mais me mata são coisas que não são de verdade chеga de perder tеmpo, nem tenho mais idade o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada 'cê foi tirando, tirando até não sobrar nada 'cê foi tirando, tirando, tirando até não sobrar nada oh o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada oh o meu amor tem camadas 'cê foi tirando, tirando sem devolver nada 'cê foi tirando, tirando até não sobrar nada 'cê foi tirando, tirando, tirando até não sobrar nada",213,66,58,30.985915492957744,27.230046948356808,87.87878787878788
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,era pra sempre,"beijo roubado as três da manhã, pegou de lado eu não entendi embriagado e deixei pra depois peguei tua mão pra te assegurar que a solidão não vai machucar e amanhecemos tão tarde pra almoçar você nem sonhava, mas eu sabia que era pra sempre, mesmo quando ninguém sabia sempre, desde o nosso primeiro dia sempre, apesar de mim ingenuidade achar que a gente tem vontades que o destino preenche sua vaidade achar que sabe mais que o tempo que ele dizia que dia após dia aumentaria que a gente sentia até não caber mais em nós você nem sonhava (mas eu já sabia) que era pra sempre, mesmo quando não parecia sempre, desde o nosso primeiro dia sempre, apesar de nós quatro da manhã da sexta feira a tua paciência já se esgotou e em pedaços eu tento juntar tudo de mim em você que nos restou a força que eu acreditava possuir, deixou de existir mostrou pra mim a farsa que eu sou, acovardado e vida me ensinando a gritar calado eu nunca disse que eu ia te amar pra sempre pois pra sempre vou te decepcionar nada é eterno, nem mesmo o tempo exceto a minha gana de recomeçar de novo melhor, mais calmo, sábio, consciente de que tudo pode se acabar mas se depender de mim, eu sei que vou te amar pra (sempre!) sempre achando uma saída (sempre!) até o final da nossa vida sempre, apesar de mim, de você, de nós (sempre!) de nós (sempre!) de nós sempre (sempre, sempre, sempre) ah-ah, ah-ah-ah",259,127,115,49.034749034749034,44.4015444015444,90.5511811023622
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,interlude,"estrada do inferno, farol da solidão dentro de um caderno, um parque de redenção por tudo que é eterno, piedade, jaboatão por dentro e por fora, eu nunca fui embora rodrigos, intrigas e noites mal dormidas lições mal aprendidas pra mais de quatro vidas feliz por acidente , antes e agora nunca é minha hora, eu nunca fui embora a vida é um sopro, é a boca da morte me cuspindo pra fora, um golpe de sorte se a gente não morre, não cura dos cortes mas vivendo piora, eu nunca fui embora azar de quem fica, maldito quem vai eu não sei nem o cheiro de abraço de pai repito, incansável, mais forte agora eu nunca fui embora, eu nunca fui embora eu nunca fui embora",126,75,69,59.523809523809526,54.761904761904766,92.0
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,a gente conhece o fundo do poço,"contando esses carros que me cruzam o olhar torcendo pra algum farol me cegar e eu não ter culpa de nada e me persegue essa noção de que nunca vai dar mesmo que eu tente fazer durar felicidade contada e eu tento há tanto tempo quem dirá o sabor do vento possa me trazer de volta pra antes de eu me destruir não posso mais esconder se eu quеro mais, é por você a gente conhecе o fundo do poço errei tantas escolhas, já parei de contar acertos não vão recuperar minha juventude perdida tem dias que eu tô triste demais pra ajudar ou pra perceber que eu preciso parar de achar que é o fim da minha vida e eu tento há tanto tempo quem dirá o sabor do vento possa nos levar pra longe antes de tudo explodir não posso mais esconder se eu quero mais, é por você (acho que é por você) a gente conhece o fundo do poço atolado até o pescoço a gente sempre soube que a gente vai sobreviver não posso mais esconder se eu quero mais, é por você (é por você) a gente conhece o fundo do poço atolado até o pescoço a gente sempre soube que a gente vai sobreviver",210,99,86,47.14285714285714,40.95238095238095,86.86868686868688
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,se eu for eu vou com você,"deixa eu fazer uso medicinal da tua companhia doente eu 'tô na tempestade, buscando calmaria quando eu voltar, não vá me estranhar eu ainda sou eu, o mesmo apesar de um monte de coisas que eu não pude evitar não deixa, não deixa, não deixa (não deixa) não deixa eu ir embora pois não é hora de dar adeus o teu caminho é pra sempre entrelaçado com o meu às vezes preciso de tеmpo pra eu voltar a ser eu não vou еmbora pois não é hora de te perder eu nunca fui embora, só se for com você se eu for, eu vou com você se eu for, eu vou com você o cara que já sabia de tudo, um dia se ""foderia"" ele aprendeu da pior maneira a conviver com a sua partida quando eu voltar, não vá me estranhar eu ainda sou teu, até você enjoar e como outras coisas, não tenho onde guardar não deixa, não deixa, não deixa (não deixa) não deixa eu ir embora pois não é hora de dar adeus o teu caminho é pra sempre entrelaçado como meu às vezes preciso de tempo pra eu voltar a ser eu não vou embora pois não é hora de te perder eu nunca fui embora, só se for com você se eu for, eu vou com você se eu for, eu vou com você não deixa eu ir embora pois não é hora de dar adeus (se eu for, eu vou com você) o teu caminho é pra sempre entrelaçado como meu às vezes preciso de tempo pra eu voltar a ser eu (se eu for, eu vou com você) se eu for, eu vou com você",283,84,77,29.681978798586574,27.208480565371023,91.66666666666666
eu nunca fui embora (deluxe),2025-04-04T00:00:00.000000,fala que ama,"fala que ama, mesmo que seja de mentira finge que gosta, me engana só por mais um dia diz que vai ficar, mas só até cair a ficha me deixa desapegar de você porque eu demoro pra me entregar e mais ainda pra me esquecer de hora em hora você me ignora e dia após dia você me iludia e eu nem percebia, mas insistia em negar cê fala que odeia, mas não vive sem, pode falar cenas de acabar, e como é que eu faço pra ir embora pro mesmo lugar que você? porque eu demoro pra me entregar e mais ainda pra me esquecer de hora em hora você me ignora e dia após dia você me iludia e eu nem percebia de hora em hora você me ignora e eu nem percebia e dia após dia você me iludia e eu nem percebia de hora em hora você me ignora e dia após dia você me iludia e eu nem percebia de hora em hora você me ignora e dia após dia você me iludia e eu nem percebia",182,60,56,32.967032967032964,30.76923076923077,93.33333333333333
